reg,clage_vacsi,jour,n_tot_dose1,n_tot_dose2,couv_tot_dose1,couv_tot_dose2
01,24,2021-02-21,1,0,0.0,0.0
01,29,2021-02-21,15,2,0.1,0.0
01,39,2021-02-21,57,11,0.2,0.0
01,49,2021-02-21,86,10,0.2,0.0
01,59,2021-02-21,346,116,0.6,0.2
01,64,2021-02-21,234,60,0.9,0.2
01,69,2021-02-21,281,38,1.2,0.2
01,74,2021-02-21,319,31,1.6,0.2
01,79,2021-02-21,373,44,2.8,0.3
01,80,2021-02-21,492,91,2.4,0.4
02,24,2021-02-21,11,5,0.0,0.0
02,29,2021-02-21,47,10,0.3,0.1
02,39,2021-02-21,111,42,0.3,0.1
02,49,2021-02-21,157,68,0.4,0.2
02,59,2021-02-21,519,227,0.8,0.4
02,64,2021-02-21,384,182,1.3,0.6
02,69,2021-02-21,421,154,1.8,0.6
02,74,2021-02-21,590,169,3.0,0.9
02,79,2021-02-21,857,265,6.2,1.9
02,80,2021-02-21,835,300,3.4,1.2
03,24,2021-02-21,10,1,0.0,0.0
03,29,2021-02-21,52,13,0.3,0.1
03,39,2021-02-21,154,31,0.4,0.1
03,49,2021-02-21,202,61,0.6,0.2
03,59,2021-02-21,581,157,2.1,0.6
03,64,2021-02-21,329,92,3.2,0.9
03,69,2021-02-21,242,76,3.3,1.0
03,74,2021-02-21,213,52,4.6,1.1
03,79,2021-02-21,288,123,10.7,4.6
03,80,2021-02-21,266,130,7.8,3.8
04,24,2021-02-21,44,1,0.1,0.0
04,29,2021-02-21,215,35,0.4,0.1
04,39,2021-02-21,599,127,0.6,0.1
04,49,2021-02-21,789,145,0.7,0.1
04,59,2021-02-21,1978,708,1.6,0.6
04,64,2021-02-21,1182,339,2.4,0.7
04,69,2021-02-21,1191,235,2.9,0.6
04,74,2021-02-21,1271,183,4.7,0.7
04,79,2021-02-21,2989,156,15.3,0.8
04,80,2021-02-21,3679,490,14.6,1.9
06,24,2021-02-21,10,0,0.0,0.0
06,29,2021-02-21,110,4,0.6,0.0
06,39,2021-02-21,265,2,0.7,0.0
06,49,2021-02-21,436,3,1.5,0.0
06,59,2021-02-21,1111,10,7.5,0.1
06,64,2021-02-21,579,2,12.6,0.0
06,69,2021-02-21,576,6,18.3,0.2
06,74,2021-02-21,336,1,18.9,0.1
06,79,2021-02-21,232,0,18.4,0.0
06,80,2021-02-21,275,0,23.2,0.0
11,24,2021-02-21,2262,633,0.2,0.1
11,29,2021-02-21,6058,2250,0.7,0.3
11,39,2021-02-21,16022,7301,0.9,0.4
11,49,2021-02-21,21897,11122,1.3,0.7
11,59,2021-02-21,46728,30881,3.0,2.0
11,64,2021-02-21,24477,15725,3.9,2.5
11,69,2021-02-21,17637,10473,3.2,1.9
11,74,2021-02-21,20017,10197,4.2,2.1
11,79,2021-02-21,66071,21536,21.1,6.9
